antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({' Quantidade alta de obitos/100k hab'}),frozenset({'IDHM alto'}),0.2496124031007752,0.8666666666666667,0.22015503875968992,0.8819875776397516,1.0176779741997133,0.0038242894056847443,1.1298245614035085
frozenset({'1 posto de vacinação'}),frozenset({'Cidade pequena'}),0.4604651162790698,0.7813953488372093,0.4418604651162791,0.9595959595959596,1.228054353054353,0.0820551649540292,5.410465116279065
frozenset({'1 posto de vacinação'}),frozenset({'IDHM alto'}),0.4604651162790698,0.8666666666666667,0.4170542635658915,0.9057239057239057,1.045066045066045,0.01798449612403097,1.4142857142857137
frozenset({'20.1 a 50 hab/km^2'}),frozenset({'Cidade pequena'}),0.3085271317829457,0.7813953488372093,0.2992248062015504,0.9698492462311559,1.2411761186886816,0.05814314043627189,7.250387596899247
frozenset({'20.1 a 50 hab/km^2'}),frozenset({'IDHM alto'}),0.3085271317829457,0.8666666666666667,0.27286821705426356,0.8844221105527639,1.0204870506378045,0.005478036175710577,1.1536231884057975
frozenset({'Area de 158.026 a 281.033 km^2'}),frozenset({'Cidade pequena'}),0.2496124031007752,0.7813953488372093,0.22945736434108527,0.9192546583850931,1.1764270925761608,0.03441139354606093,2.7073345259391757
frozenset({'Area de 158.026 a 281.033 km^2'}),frozenset({'IDHM alto'}),0.2496124031007752,0.8666666666666667,0.22170542635658916,0.8881987577639752,1.0248447204968945,0.005374677002583983,1.1925925925925924
frozenset({'Area de 281.034 a 511.521 km^2'}),frozenset({'IDHM alto'}),0.2496124031007752,0.8666666666666667,0.21395348837209302,0.8571428571428571,0.9890109890109889,-0.002377260981912155,0.9333333333333328
frozenset({'Area menor que 158.025km^2'}),frozenset({'IDHM alto'}),0.25116279069767444,0.8666666666666667,0.22790697674418606,0.9074074074074073,1.0470085470085468,0.010232558139534859,1.4399999999999984
frozenset({'Escolarização Alta'}),frozenset({'Cidade pequena'}),0.2775193798449612,0.7813953488372093,0.2310077519379845,0.8324022346368716,1.0652766693269489,0.014155399314945055,1.3043410852713184
frozenset({'Escolarização Muito Alta'}),frozenset({'Cidade pequena'}),0.2124031007751938,0.7813953488372093,0.2062015503875969,0.9708029197080292,1.242396593673966,0.04023075536325943,7.487209302325591
frozenset({'Cidade pequena'}),frozenset({'IDHM alto'}),0.7813953488372093,0.8666666666666667,0.6821705426356589,0.873015873015873,1.0073260073260073,0.004961240310077497,1.0499999999999998
"frozenset({'Idade média de 39,0 a 45,9 anos'})",frozenset({'Cidade pequena'}),0.2496124031007752,0.7813953488372093,0.22325581395348837,0.8944099378881987,1.144631765749778,0.028209843158464032,2.0703146374828987
frozenset({'Nível alto de receitas realizadas'}),frozenset({'Cidade pequena'}),0.23565891472868217,0.7813953488372093,0.22325581395348837,0.9473684210526315,1.212406015037594,0.0391130340724716,4.153488372093019
frozenset({'Nível baixo de receitas realizadas'}),frozenset({'Cidade pequena'}),0.3085271317829457,0.7813953488372093,0.29767441860465116,0.9648241206030151,1.2347451543431445,0.05659275283937265,6.214617940199348
frozenset({'Nível médio de receitas realizadas'}),frozenset({'Cidade pequena'}),0.2310077519379845,0.7813953488372093,0.22635658914728682,0.9798657718120805,1.253994886545222,0.04584820623760591,10.857364341085228
frozenset({'PIB até R$19449.94'}),frozenset({'Cidade pequena'}),0.31627906976744186,0.7813953488372093,0.2837209302325581,0.8970588235294117,1.1480217086834732,0.03658193618171984,2.123588039867108
frozenset({'Poucas despesas empenhadas'}),frozenset({'Cidade pequena'}),0.3023255813953488,0.7813953488372093,0.2961240310077519,0.9794871794871794,1.2535103785103785,0.05988822787092121,10.656976744186027
frozenset({'Poucos casos'}),frozenset({'Cidade pequena'}),0.25116279069767444,0.7813953488372093,0.25116279069767444,1.0,1.2797619047619049,0.054905354245538135,inf
frozenset({'Poucos obitos/100k hab'}),frozenset({'Cidade pequena'}),0.25116279069767444,0.7813953488372093,0.22170542635658916,0.882716049382716,1.1296663727219283,0.02544798990445285,1.863892288861688
frozenset({'Qtd. alta despesas empenhadas'}),frozenset({'Cidade pequena'}),0.2372093023255814,0.7813953488372093,0.2186046511627907,0.9215686274509804,1.1793884220354809,0.03325040562466197,2.7872093023255835
frozenset({'Qtd. média despesas empenhadas'}),frozenset({'Cidade pequena'}),0.2434108527131783,0.7813953488372093,0.23255813953488372,0.9554140127388534,1.2227024567788898,0.04235803136830718,4.90299003322258
frozenset({'Quantidade alta de casos'}),frozenset({'Cidade pequena'}),0.2496124031007752,0.7813953488372093,0.23565891472868217,0.9440993788819875,1.2082224194025435,0.04061294393365783,3.9105943152454707
